"C_N","C","N","S"
1,0.255882352941176,-0.132352941176471,-0.0429641416935821
0.255882352941176,1,0.879411764705882,0.494828390539876
-0.132352941176471,0.879411764705882,1,0.622239293493258
-0.0429641416935821,0.494828390539876,0.622239293493258,1
