"PCA1_temp","AP","PC1.p","PC2.p"
NA,6.60595636403638e-05,0.000180441186615532,0.422809488459783
6.60595636403638e-05,NA,0.0028467620254915,0.170271922041187
0.000180441186615532,0.0028467620254915,NA,0.232248880066064
0.422809488459783,0.170271922041187,0.232248880066064,NA
