"Mean.LA","Mean.SLA","Mean.N.por","Mean.P.por"
1,-0.028666432623491,0.15863459634379,-0.0926561858533169
-0.028666432623491,1,0.324750658069502,0.309959187616219
0.15863459634379,0.324750658069502,1,0.302646767610906
-0.0926561858533169,0.309959187616219,0.302646767610906,1
