"C_N","C","N","S"
NA,0.338789908071246,0.625106429151613,0.874466495441956
0.338789908071246,NA,7.18727304160893e-06,0.0513358606977681
0.625106429151613,7.18727304160893e-06,NA,0.0100544707290844
0.874466495441956,0.0513358606977681,0.0100544707290844,NA
