"WD","Ht2019","Sum_BA_2019.m2.","Mean.LA","Mean.SLA","Mean.LBT","Mean.LDMC"
NA,0.894469663884851,0.243113473777777,0.339077723778844,0.28345294448548,4.33537440662768e-05,0.000718336299178723
0.894469663884851,NA,3.35030214437815e-05,0.662619643342181,0.185803233544762,0.0851939434146611,0.00749912804120068
0.243113473777777,3.35030214437815e-05,NA,0.745832679464473,2.65288584748724e-05,0.00778046896460194,0.165646576786709
0.339077723778844,0.662619643342181,0.745832679464473,NA,0.614538356028753,0.44992716885904,0.541720052287561
0.28345294448548,0.185803233544762,2.65288584748724e-05,0.614538356028753,NA,4.44089209850063e-16,0
4.33537440662768e-05,0.0851939434146611,0.00778046896460194,0.44992716885904,4.44089209850063e-16,NA,0.000137893070482509
0.000718336299178723,0.00749912804120068,0.165646576786709,0.541720052287561,0,0.000137893070482509,NA
