"AGC","AGCnc","AGCp","PCA1_temp","AP","PC1.p","PC2.p","C_N","N","C","S"
1,0.411764705882353,0.5,0.56070655356426,0.508100698312052,0.408556349828311,0.184366583857541,0.0264705882352941,0.620588235294118,0.558823529411765,0.696315399861503
0.411764705882353,1,0.658823529411765,0.671081859383997,0.605302571032619,0.706492749342097,-0.184366583857541,-0.220588235294118,0.461764705882353,0.197058823529412,0.448901204591565
0.5,0.658823529411765,1,0.532744809423261,0.571429191145149,0.532450694180578,-0.18141671851582,-0.182352941176471,0.205882352941176,0.00588235294117647,0.205931575703721
0.56070655356426,0.671081859383997,0.532744809423261,1,0.831245619956277,0.802953997520413,-0.215498683158052,-0.325239234482156,0.623988395567576,0.348785966390367,0.573771109032527
0.508100698312052,0.605302571032619,0.571429191145149,0.831245619956277,1,0.694240048350014,-0.360413982547667,-0.210604057561227,0.437408427242549,0.198822012382977,0.569001118370834
0.408556349828311,0.706492749342097,0.532450694180578,0.802953997520413,0.694240048350014,1,-0.316568047337278,-0.339234514297875,0.362833437031641,0.0840711622390387,0.554983225708493
0.184366583857541,-0.184366583857541,-0.18141671851582,-0.215498683158052,-0.360413982547667,-0.316568047337278,1,-0.427730474549495,0.300886264855507,0.252213486717116,0.0453199153523669
0.0264705882352941,-0.220588235294118,-0.182352941176471,-0.325239234482156,-0.210604057561227,-0.339234514297875,-0.427730474549495,1,-0.132352941176471,0.255882352941176,-0.0429641416935821
0.620588235294118,0.461764705882353,0.205882352941176,0.623988395567576,0.437408427242549,0.362833437031641,0.300886264855507,-0.132352941176471,1,0.879411764705882,0.622239293493258
0.558823529411765,0.197058823529412,0.00588235294117647,0.348785966390367,0.198822012382977,0.0840711622390387,0.252213486717116,0.255882352941176,0.879411764705882,1,0.494828390539876
0.696315399861503,0.448901204591565,0.205931575703721,0.573771109032527,0.569001118370834,0.554983225708493,0.0453199153523669,-0.0429641416935821,0.622239293493258,0.494828390539876,1
