Plot,Scientific_name,Elevation,Genus,Species,Species_acronimum,N.TREE,WD_g_cm3,Ht2019_m,Sum_BA_2019.m2.,Mean.LBT_mm,Mean.LA_cm2,Mean.SLA_cm2_g,Mean.LDMC_mg_g,Mean.N.por,Mean.P.por,Mean.P.mg.g,Mean.K.mg.g,Mean.Ca.mg.g,Mean.Mg.mg.g,Mean.Fe.mg.g,Mean.Na.mg.g,Mean.Al.mg.g,Mean.Cu.mg.g,Mean.Pb.mg.g,Mean.Mn.mg.g,Mean.As.mg.g
BECL_03,Nectandra acutifolia,2203,Nectandra,acutifolia,NECACU,1,0.562449275,4.554908584,0.004417865,0.227307692,54.18,107.0579231,389.5927053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_03,Nectandra subbullata,2203,Nectandra,subbullata,NECSUB,3,0.562449275,14.77622953,0.357819549,0.26545584,183.4140969,76.96021709,354.03764,2.312869711,0.080975917,0.809759167,11.40442517,6.740062667,1.478709333,0.079021167,1.5392795,0.967532,0.0091365,-0.002258833,0.0382225,-0.000779
BECL_03,Ocotea floribunda,2203,Ocotea,floribunda,OCOFLO,1,0.3954,3.725267315,0.003318307,0.260307692,94.94038462,97.93169231,514.8701423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_03,Sapium stylare,2203,Sapium,stylare,SAPSTY,3,0.47,18.8306391,0.1788116,0.304615384,66.83279487,83.7634621,326.7844628,2.00023541,0.145046217,1.450462167,15.84164783,8.7136855,2.0069675,0.067950333,0.109538333,0.043105,0.005306667,-0.000104833,0.024589833,-0.0006175
BECL_03,Saurauia tomentosa,2203,Saurauia,tomentosa,SAUTOM,3,0.4106,17.45281508,0.630693574,0.488622711,333.4712051,125.6384463,179.8692071,2.120018692,0.184692467,1.846924667,45.22107094,19.02151772,3.395838333,0.424431278,1.751802722,1.150614611,0.011886889,-0.0017085,0.062146111,0.0001775
BECL_03,Tetrorchidium andinum,2203,Tetrorchidium,andinum,TETAND,1,NA,NA,0.114751385,0.289461538,137.7492308,119.7452575,222.1827617,2.033333333,0.151138733,1.511387333,22.405635,17.421409,4.052881667,0.153513667,0.249552333,1.097598,0.017017667,NA,0.124984667,NA
BECL_03,Trichilia primogenita,2203,Trichilia,primogenita,TRIPRI,1,0.644092949,28.6602464,0.507693939,0.234692308,94.72107692,165.6557394,202.2342934,3.00780104,0.26275355,2.6275355,37.2562495,2.771007,2.0973215,0.0624405,0.117242,0.050772,0.0088665,9.50E-05,0.0195735,-0.0005925
CEDR_01,Axinaea quitensis,2492,Axinaea,quitensis,AXIQUI,3,0.537570845,11.76290644,0.554650539,0.246564103,34.20438461,95.67084617,374.6249419,2.170423588,0.106380517,1.063805167,10.13937,6.559721833,1.4145725,0.118195,0.095296333,5.410458833,0.005758667,0.002634167,0.238815,-0.001316667
CEDR_01,Chrysochlamys colombiana,2492,Chrysochlamys,colombiana,CHRCOL,4,NA,NA,0.027807022,0.390489178,21.95981575,158.5335147,152.6432158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Clusia alata,2492,Clusia,alata,CLUALA,4,0.56,10.54805878,0.167149225,0.523445833,312.1023,83.3263375,225.5010436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Clusia multiflora,2492,Clusia,multiflora,CLUMUL,3,0.676428571,16.53408037,0.319254928,0.498589744,54.28192308,101.4185128,274.7872248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Cornus peruviana,2492,Cornus,peruviana,CORPER,3,0.56,17.24739043,0.682803173,0.236968254,20.57525641,126.0889658,283.4293454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_01,Guarea kunthiana,2492,Guarea,kunthiana,GUAKUN,3,0.616166667,10.70751871,0.361701771,0.373682984,233.130965,103.293338,219.5847253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
