"","FRic_beta_div"
"1",0.0170025547073851
"2",0.0511103584812825
"3",0.0278450788520176
"4",0.0300388075109347
"5",0.310582793913832
"6",0.0619739362237611
"7",0.520080289356191
"8",0.134589724952228
"9",0.235831294511038
"10",0.123237073565935
"11",0.0344575598716723
"12",0.0166670057480406
"13",0.0204711281985444
"14",0.00898957084427091
"15",0.0048575268607376
"16",0.00126366319882335
