"","x1","x2","sor_diss","sor_turn","sor_nest"
"1","BECL_01","BECL_03",0.594833281834307,0.188442972944227,0.406390308890081
"2","BECL_01","CEDR_01",0.697480584700798,0.601022313545317,0.0964582711554813
"3","BECL_01","CEDR_03",0.512364825580444,0.325424229915864,0.18694059566458
"4","BECL_01","INTI_01",0.944729882111361,0.467559988822701,0.47716989328866
"5","BECL_01","INTI_02",0.713670495138731,0.335002888296149,0.378667606842582
"6","BECL_01","MALO_01",0.969256715127428,0.514435002286865,0.454821712840563
"7","BECL_01","MALO_02",0.835630970736598,0.267254942557132,0.568376028179466
"8","BECL_01","MAPI_01",0.921161634655441,0.413823166012367,0.507338468643075
"9","BECL_01","MAPI_02",0.89874181004184,0.582403610405864,0.316338199635976
"10","BECL_01","MIND_01",0.589904527016611,0.379400319796897,0.210504207219715
"11","BECL_01","RIBR_01",0.600960844720584,0.596944011243838,0.00401683347674608
"12","BECL_01","VERD_01",0.905340051871647,0.895684591489276,0.00965546038237143
"13","BECL_01","VERD_02",0.86158969913336,0.799902688343518,0.0616870107898415
"14","BECL_01","VERD_03",0.968850106132434,0.929908856882784,0.0389412492496499
"15","BECL_01","YANA_01",0.932071726066128,0.509049304108846,0.423022421957282
"16","BECL_03","CEDR_01",0.623366710551657,0.466023309886972,0.157343400664685
"17","BECL_03","CEDR_03",0.550575616263916,0.392945044448361,0.157630571815555
"18","BECL_03","INTI_01",0.855189465694469,0.487608968031697,0.367580497662772
"19","BECL_03","INTI_02",0.552066561413874,0.504462123897375,0.047604437516499
"20","BECL_03","MALO_01",0.899371096641829,0.437704115092662,0.461666981549167
"21","BECL_03","MALO_02",0.640215879899893,0.34639529925123,0.293820580648663
"22","BECL_03","MAPI_01",0.795335663522751,0.425490988887654,0.369844674635097
"23","BECL_03","MAPI_02",0.730041350688979,0.539559116147185,0.190482234541794
"24","BECL_03","MIND_01",0.473512298334364,0.346290671223703,0.127221627110661
"25","BECL_03","RIBR_01",0.619535702824088,0.226409721224919,0.393125981599168
"26","BECL_03","VERD_01",0.788102976536649,0.629529359216866,0.158573617319783
"27","BECL_03","VERD_02",0.881212707149409,0.602922763012422,0.278289944136987
"28","BECL_03","VERD_03",0.908369538722203,0.472121997710021,0.436247541012182
"29","BECL_03","YANA_01",0.977338613020839,0.530385954875876,0.446952658144963
"30","CEDR_01","CEDR_03",0.483124768067725,0.462764186303883,0.0203605817638416
"31","CEDR_01","INTI_01",0.919190296830941,0.5089211977512,0.410269099079741
"32","CEDR_01","INTI_02",0.705139459075335,0.52443870762022,0.180700751455115
"33","CEDR_01","MALO_01",0.941055990088801,0.420060569662896,0.520995420425906
"34","CEDR_01","MALO_02",0.811064526458419,0.448920638014907,0.362143888443511
"35","CEDR_01","MAPI_01",0.866178665397584,0.366395685677644,0.499782979719939
"36","CEDR_01","MAPI_02",0.873486131002888,0.656779789700227,0.216706341302662
"37","CEDR_01","MIND_01",0.596249224249202,0.548309077347274,0.0479401469019283
"38","CEDR_01","RIBR_01",0.563961553741401,0.417742439699392,0.146219114042009
"39","CEDR_01","VERD_01",0.783176734430033,0.74412553887962,0.0390511955504131
"40","CEDR_01","VERD_02",0.674416443630746,0.332962804705169,0.341453638925576
"41","CEDR_01","VERD_03",0.884972191526865,0.612795855345199,0.272176336181666
"42","CEDR_01","YANA_01",0.921521880847667,0.0961201809281485,0.825401699919519
"43","CEDR_03","INTI_01",0.879845894207872,0.318763171311355,0.561082722896517
"44","CEDR_03","INTI_02",0.542491795522088,0.299296665491415,0.243195130030673
"45","CEDR_03","MALO_01",0.923796944014721,0.302223360200356,0.621573583814365
"46","CEDR_03","MALO_02",0.716592100213381,0.223387502760322,0.49320459745306
"47","CEDR_03","MAPI_01",0.827267798040092,0.23558336760134,0.591684430438753
"48","CEDR_03","MAPI_02",0.782692065028718,0.445582765134842,0.337109299893876
"49","CEDR_03","MIND_01",0.424932898693603,0.382636294366764,0.0422966043268391
"50","CEDR_03","RIBR_01",0.563035498126587,0.38774898341593,0.175286514710656
"51","CEDR_03","VERD_01",0.843846991674595,0.807356039812236,0.0364909518623582
"52","CEDR_03","VERD_02",0.761610933726639,0.482514858860566,0.279096074866072
"53","CEDR_03","VERD_03",0.927803255978578,0.740670325440566,0.187132930538012
"54","CEDR_03","YANA_01",0.953972172868961,0.429917436883211,0.52405473598575
"55","INTI_01","INTI_02",0.6999699813949,0.0981837730053607,0.601786208389539
"56","INTI_01","MALO_01",0.441544224444255,0.253196562263864,0.188347662180391
"57","INTI_01","MALO_02",0.639658528215084,0.404062528906524,0.23559599930856
"58","INTI_01","MAPI_01",0.498190027364779,0.418660616419697,0.0795294109450817
"59","INTI_01","MAPI_02",0.648125894863009,0.380665358065244,0.267460536797765
"60","INTI_01","MIND_01",0.856356419432637,0.280813382570289,0.575543036862348
"61","INTI_01","RIBR_01",0.94877001190731,0.497060132052104,0.451709879855207
"62","INTI_01","VERD_01",0.999211487135322,0.993624184413383,0.0055873027219385
"63","INTI_01","VERD_02",0.974935811684889,0.554493642168294,0.420442169516595
"64","INTI_01","VERD_03",1,1,0
"65","INTI_01","YANA_01",0.999903797116804,0.988129539454544,0.01177425766226
"66","INTI_02","MALO_01",0.81054856001627,0.110343654898764,0.700204905117506
"67","INTI_02","MALO_02",0.514332010418363,0.229799783868279,0.284532226550084
"68","INTI_02","MAPI_01",0.632687558573268,0.117471206154319,0.51521635241895
"69","INTI_02","MAPI_02",0.552418745114815,0.331194843902449,0.221223901212366
"70","INTI_02","MIND_01",0.453219745793375,0.234901743696407,0.218318002096967
