Plot,Acalypha,Aegiphila,Aequatorium,Agouticarpa,Aiouea,Alchornea,Allophylus,Alsophila,Andira,Aniba,Annona,Aphelandra,Ardisia,Axinaea,Bactris,Banara,Beilschmiedia,Bellucia,Billia,Blakea,Boehmeria,Brachyotum,Brosimum,Brownea,Browneopsis,Brunellia,Bunchosia,Calatola,Calyptranthes,Capparidastrum,Carapa,Carica,Casearia,Castilla,Cavendishia,Cecropia,Cedrela,Ceroxylon,Cestrum,Chamaedorea,Chrysochlamys,Chrysophyllum,Cinchona,Cinnamomum,Citharexylum,Citronella,Citrus,Clarisia,Clavija,Cleome,Clethra,Clusia,Coccoloba,Conostegia,Cordia,Cordiera,Cornus,Coussapoa,Coussarea,Critoniopsis,Croton,Cuatresia,Cupania,Cyathea,Cybianthus,Dacryodes,Daphnopsis,Delostoma,Dendropanax,Dendrophorbium,Dicksonia,Discophora,Duroia,Dussia,Elaeagia,Endlicheria,Erythrina,Escallonia,Eschweilera,Eugenia,Faramea,Ficus,Freziera,Gaiadendron,Garcinia,Geissanthus,Geonoma,Gloeospermum,Gordonia,Graffenrieda,Grias,Guapira,Guarea,Guatteria,Guettarda,Gustavia,Handroanthus,Haydenoxylon,Hedyosmum,Heisteria,Helicostylis,Heliocarpus,Henriettea,Hieronyma,Hippotis,Hirtella,Huertea,Idiopappus,Ilex,Indeterminada,Indeterminado,Inga,Iochroma,Iriartea,Jacaratia,Juglans,Licania,Licaria,Lozanella,Lozania,Macrolobium,Magnolia,Matisia,Maytenus,Meliosma,Meriania,Miconia,Monnina,Morus,Myrcia,Myrcianthes,Myriocarpa,Myrsine,Naucleopsis,Nectandra,Neea,Ochroma,Ocotea,Oreopanax,Ossaea,Otoba,Palicourea,Panopsis,Pentagonia,Persea,Pholidostachys,Phragmotheca,Phytelephas,Piper,Pittoniotis,Pleurothyrium,Posoqueria,Poulsenia,Pourouma,Pouteria,Prestoea,Protium,Prunus,Pseudolmedia,Psychotria,Randia,Rauvolfia,Rhodostemonodaphne,Richeria,Roupala,Ruagea,Salacia,Sapium,Saurauia,Schefflera,Sessea,Simarouba,Siparuna,Sloanea,Socratea,Solanum,Sorocea,Sphaeropteris,Spirotheca,Stylogyne,Styrax,Swartzia,Symplocos,Tabernaemontana,Tapirira,Tetrorchidium,Theobroma,Tournefortia,Tovomita,Trema,Trichilia,Trichospermum,Triplaris,Turpinia,Urera,Vallea,Varronia,Verbesina,Viburnum,Virola,Vismia,Weinmannia,Wettinia,Zanthoxylum
2000-2500,0,0.189672087,0,0,0.006939778,0.367971605,0.008794103,0.012271846,0,0,0,0.002042821,0.135194512,1.630993956,0,0.005862998,0.64462104,0,0.488615048,0.492198033,0,0,0,0,0,0.112413254,0,0,0,0,0,0,0.052052264,0,0,0,0,0,0.168894377,0.025126457,2.027435459,0,0.224133787,0,0.075476764,0.099039494,0,0,0,0,0.047529155,0.511617789,0,0,0,0,0.717439232,0,0,0.888652103,3.48865382,0,0,2.32863801,0,0,0,0.007853982,0,0.018626503,0,0,0,0.025373073,0,0.111847768,0.37496165,0,0,0,0.130573228,0.839773635,0.03630503,0,0,0.263119379,0.007543749,0,0.662303495,0.008574191,0,0,0.4730406,0,0,0,0,0.03503347,0.261178661,0,0,0,0,0.870192891,0,0,0.003525652,0,0,0.058567927,0,0.004071504,0.085801607,0,0,0.098422956,0,0,0.002551759,0,0,0,0,0,0.337995313,1.703004758,4.056093787,0,0.859999994,0.083532593,0.167875715,0.035562045,0.069511664,0,1.826629569,0,0,0.801835761,0.185844056,0.002375829,0,0.500070864,0,0,0.005755398,0,0,0,0.040013681,0,0.006503882,0,0,0,0,0.031086059,0,0.167219908,0,0,0,0,0.005489147,0,0,0.137489447,0,1.078460847,1.066006789,0,0,0,0.092203388,0,0,0.008992024,0,0.076921897,0,0,0,0,0.002463009,0,0,0.118069692,0,0,0,0.047747497,0.507693939,0,0,0.363157902,0.047734929,0,0.108432856,0.020293117,0,0,0,3.697166821,0,0.017436625
1200-2000,0,0.258147024,0,0,0.204581297,0.168195373,0.013303859,0.212893169,0,0.135917865,0.039961058,0,0.015910596,0.072081487,0,0.173638967,0.284332985,0,0,0.011751128,0.089078289,0,0,0,0,0,0.137059048,0.040122066,0,0.035672,0.002375829,0.002551759,0.045510682,0,0,0.653437134,0.01517782,0.976634764,0.008278883,0.002290221,0.214023356,0,0.526635387,0.088668311,0,0,0.001963495,0,0.075199517,0,0,0.033166579,0,0,1.562804116,0,0.039444267,0.235121507,0,0.765170235,0,0.141906526,0.004417865,0.533591661,0.008951969,0.641276816,0,0,1.640629221,0,0,0,0,0.145136869,1.196554887,0,0.032897187,0,0.055708291,0.203588557,0.199567309,1.008356992,0,0,0,0.030166358,0,0,0,0.024605739,0,0,0.033494875,0.021955807,0,0,0,0.011882289,1.739116574,0.341226441,0,0.166298637,0,0.460806453,0,0,0.452885713,0,0.091582139,0.004669192,0,1.735733083,0,0,0,0,0,0,0,0,0,0,0,0.002123717,0.125684912,0.320435381,3.150030969,0,0.568208868,0.373391639,0.018076724,0,0,0,2.62482344,0,0.04801139,3.849646378,0.021888262,0.002123717,0.250483895,0.20352494,0,0,0.555512906,0,0,0.477221275,0.230175848,0.217808189,0.010028749,0,0,0,0,1.643886245,0,0.001963495,0,0.013277941,0,0,0,0,0.7705078,0.030243327,0.025730429,1.02453934,0.914571028,0,0,0.046025118,0.005152997,0,0,0.032221745,0.002375829,0.359116243,0.66645825,0.006624048,0,0,0.418703615,0,0,0.064775714,0,0,0.090990733,0.022431757,0,0,0,0.093476518,0,0,0,0.027759113,0,0,0.239216573,0.026541746,0,0.078660768
600-1200,0.001963495,0.848055659,0,0.053845327,0.231145821,0.054646434,0.074058332,0.015393804,0.035968094,0,0.151045418,0,0.014276967,0,0.081180326,0,0.068813445,0.535653331,0,0.006082123,0,0,1.139782382,0.015614501,0.183527918,0,0.015130696,0.308452564,0.013069811,0,0.089985424,0,0.069381287,1.348240407,0,0.450755715,0,0,0.00490167,0,0.032312066,0.07188828,0,0,0,0,0,0.227328786,0,0,0,0,0.232844636,0.988996927,0.179093558,0.015394589,0,0.102408852,0.399412664,0.13449865,0.139188262,0,0,0.052609109,0,1.893616964,0.002733971,0,0.021903969,0,0,0.002922467,0.083161884,0.209962848,0,0,0,0,0.705578146,0.299320737,0.178535926,0.196884398,0,0,0.109319571,0.059814353,0,0.59758433,0,0.088885867,0.044475528,0.046759465,1.428090266,0.282779468,0.020970916,0.27506293,0.295924676,0.002042821,0.016933184,0.047284896,0.090582327,0,0.076932106,0.108396727,0.002642079,0.013684778,0.006148882,0,0,0.238148431,0.037326833,1.794953675,0,0.676921325,0.072676819,0,1.007207955,0.139204756,0,0.003525652,0.07016433,0.401515176,0.300869542,0,0.021102863,0,1.378644734,0,0,0.144340475,0,0,0,0.923258318,0.222242547,0.002290221,0.803796901,1.652407839,0,0.018732531,1.908141332,0.09406557,0.061575216,0.007374103,0,0.226574805,0.045874322,0,0.034811202,0,0.025837441,0.002206183,0.005281017,3.003811039,0.173807043,0.024597101,0.526527002,0,0.009463262,0.02507855,0.009262986,0.039486677,0.056315405,0.231851108,0,0.005674502,0.532004369,0.137778473,0.033741489,0,0,0.668820728,0.002290221,0.059807285,0.110664172,0,0.089123056,0,0,0.005851216,0.076944673,0.016565618,0,0.002733971,0.00664761,0.322744452,0.343764851,0,0.085887216,0.231573863,0.052120593,0.18020254,0.110368077,0.161488073,0,0,0,0,0,0.843541976,0,0,1.967131798,0.05615911
2900-3500,0,0.803692446,0.055057981,0,0,0,0,0,0,0,0,0,0,2.611296531,0,0.037285993,0,0,0,0,0.069585492,0.101390189,0,0,0,0.085012283,0,0,0,0,0,0,0,0,0.009676891,0,0,0,0.047637541,0,0,0,0,0,0.147890475,0,0,0,0,0.002290221,0.053176169,0,0,0,0,0,0,0,0,0.068718412,0,0,0,1.458879447,0,0,0,0,0,0.078436144,0.039175661,0,0,0,0,0,0,0.781980896,0,0,0,0,1.763074363,0.005674502,0,2.203305738,0,0,0.029559245,0,0,0,0.060262816,0,0,0,0,0,5.921284836,0,0,0,0,0,0,0,0,0.005944679,0.242898521,0.004417865,0,0,0,0,0,0,0,0,0.074365426,0,0,0,0,0,0.192589055,0,8.752150403,0.005410608,0,0,0.433039488,0,0,0,0,0,0,0.614837172,0.386692356,0,0,0.203786477,0,0,0,0,0,0,0.215455923,0,0,0,0,0,0,0,0,0.445138545,0,0,0,0,0,0,0,0.099847668,0,0.063059619,3.533220453,0.958433158,0.042491612,0,0.195752636,0,0,0.135130896,0,0,0,0,0.004071504,0,1.32910418,0,0,0,0,0.299313669,0,0,0,0,0,0.35280871,0,0.003117245,0,0.733304275,0.212828762,0,0,1.132484463,0,0
