Plot,Scientific_name,Scientific_name_plot,Ht2019,LA,SLA,BA,RC_BA
CEDR_03,Clusia_alata,Clusia_alata_CEDR_03,7.109810133,215.216359,91.82351282,0.002375829,0.048742476
CEDR_01,Clusia_multiflora,Clusia_multiflora_CEDR_01,16.53408037,54.28192308,101.4185128,0.319254928,0.565026484
CEDR_03,Clusia_multiflora,Clusia_multiflora_CEDR_03,18.31149542,73.51911538,114.9263846,0.001,0.031622777
MALO_02,Coccoloba_obovata,Coccoloba_obovata_MALO_02,27.97517455,152.2157778,282.3621111,0.161139355,0.401421667
MAPI_01,Conostegia_1inECPI,Conostegia_1inECPI_MAPI_01,20.33406852,118.8126154,185.2763366,0.582472481,0.763198848
MAPI_02,Conostegia_1inECPI,Conostegia_1inECPI_MAPI_02,19.40401648,117.275359,145.1407436,0.313987264,0.560345665
MAPI_01,Conostegia_centronioides_var_centronioides,Conostegia_centronioides_var_centronioides_MAPI_01,10.28662514,50.33074359,227.7608235,0.049257817,0.221941021
MAPI_02,Conostegia_centronioides_var_centronioides,Conostegia_centronioides_var_centronioides_MAPI_02,10.59977482,60.95415385,235.932077,0.024110152,0.155274441
INTI_01,Cordia_1inECPI,Cordia_1inECPI_INTI_01,12.78130828,92.18367947,128.5249338,0.618326697,0.786337521
MAPI_01,Cordia_cf_hebeclada,Cordia_cf_hebeclada_MAPI_01,22.98904314,140.6595385,163.0945489,0.053912872,0.232191455
CEDR_01,Cornus_peruviana,Cornus_peruviana_CEDR_01,17.24739043,20.57525641,126.0889658,0.682803173,0.82631905
MIND_01,Coussapoa_contorta,Coussapoa_contorta_MIND_01,18.71124612,96.97261539,246.3516773,0.273134778,0.522622979
MAPI_01,Coussapoa_herthae,Coussapoa_herthae_MAPI_01,19.01161055,212.2869616,117.5599806,0.064500824,0.253970124
MALO_01,Coussarea_latifolia,Coussarea_latifolia_MALO_01,10.58699829,387.5760658,131.4222219,0.308718026,0.555623997
BECL_03,Critoniopsis_occidentalis,Critoniopsis_occidentalis_BECL_03,12.08765119,121.8899231,162.4991154,0.037097497,0.192607105
CEDR_03,Critoniopsis_occidentalis,Critoniopsis_occidentalis_CEDR_03,16.02409269,161.7480692,206.9750643,0.842978844,0.918138793
INTI_01,Critoniopsis_occidentalis,Critoniopsis_occidentalis_INTI_01,12.88186505,211.3049487,479.1604615,0.184914144,0.430016446
INTI_02,Critoniopsis_occidentalis,Critoniopsis_occidentalis_INTI_02,13.8112279,148.1865684,367.0633393,0.46749255,0.683734269
MALO_01,Critoniopsis_occidentalis,Critoniopsis_occidentalis_MALO_01,10.59093326,171.2083333,316.1525773,0.13449865,0.366740576
BECL_01,Croton_floccosus,Croton_floccosus_BECL_01,20.52189776,72.66674359,107.9552693,1.210907252,1.10041231
BECL_03,Croton_floccosus,Croton_floccosus_BECL_03,26.59656707,75.19889743,103.4884599,2.16493119,1.471370514
CEDR_03,Croton_floccosus,Croton_floccosus_CEDR_03,20.11,91.6232841,324.7210228,0.112815378,0.335880005
MALO_01,Croton_tessmannii,Croton_tessmannii_MALO_01,14.76869337,153.3249231,147.6524506,0.087143068,0.295200047
INTI_02,Cuatresia_cuspidata,Cuatresia_cuspidata_INTI_02,9.156982971,107.6905812,235.8760053,0.072127042,0.268564782
MALO_01,Dacryodes_cupularis,Dacryodes_cupularis_MALO_01,16.41753987,162.1411795,131.6818974,0.148809391,0.385758203
MALO_02,Dacryodes_cupularis,Dacryodes_cupularis_MALO_02,13.23804612,173.4621026,138.3875926,0.874580125,0.935189887
MAPI_01,Dacryodes_cupularis,Dacryodes_cupularis_MAPI_01,10.84281092,206.343891,122.468011,0.021256801,0.145797123
MAPI_02,Dacryodes_cupularis,Dacryodes_cupularis_MAPI_02,14.60910536,164.7938975,101.7468461,0.848970647,0.921396032
MIND_01,Dacryodes_cupularis,Dacryodes_cupularis_MIND_01,8.810412193,195.9908974,153.3976523,0.641276816,0.800797612
MIND_01,Dendropanax_macrocarpus,Dendropanax_macrocarpus_MIND_01,10.24757216,79.68248077,210.9349575,1.164593111,1.079163153
INTI_01,Dendropanax_macrophyllus,Dendropanax_macrophyllus_INTI_01,18.75268924,189.0579464,119.6818135,0.472819119,0.68761844
INTI_02,Dussia_lehmannii,Dussia_lehmannii_INTI_02,21.30604106,122.6342308,119.9190769,0.079422604,0.281820163
MALO_01,Dussia_lehmannii,Dussia_lehmannii_MALO_01,25.99310692,112.8521538,346.7303018,0.106940599,0.327017735
MAPI_01,Dussia_lehmannii,Dussia_lehmannii_MAPI_01,7.971858445,156.2117657,256.2288831,0.043687773,0.209016203
INTI_01,Elaeagia_utilis,Elaeagia_utilis_INTI_01,8.732382314,421.1766332,150.6323348,0.343054063,0.585708172
INTI_02,Elaeagia_utilis,Elaeagia_utilis_INTI_02,17.6025636,564.7207885,186.6165577,0.853500824,0.923851083
VERD_01,Escallonia_paniculata,Escallonia_paniculata_VERD_01,11.22010425,16.56553846,81.60869231,0.043064952,0.207520968
MALO_02,Eschweilera_caudiculata,Eschweilera_caudiculata_MALO_02,10.88275121,82.20548718,208.8459712,0.33957789,0.582733121
MALO_01,Eschweilera_cf_awaensis,Eschweilera_cf_awaensis_MALO_01,13.91060048,693.6370806,112.8275419,0.178708713,0.422739533
RIBR_01,Eugenia_cf_florida,Eugenia_cf_florida_RIBR_01,11.60873433,41.59233333,115.5587606,0.203588557,0.451207887
MALO_01,Eugenia_crassimarginata,Eugenia_crassimarginata_MALO_01,14.70256693,74.43907692,202.0118852,0.108028376,0.328676704
MALO_02,Eugenia_crassimarginata,Eugenia_crassimarginata_MALO_02,12.37394341,41.9625641,153.1690392,0.186487295,0.431841748
MALO_02,Faramea_langlassei,Faramea_langlassei_MALO_02,8.083231143,96.15015383,193.8222564,0.019176281,0.13847845
