Plot;Elevation
BECL_01;2313
BECL_03;2203
CEDR_01;2492
CEDR_03;2212
INTI_01;1879
INTI_02;1829
MALO_01;1018
MALO_02;827
MAPI_01;653
MAPI_02;632
MIND_01;1277
RIBR_01;1640
VERD_01;3421
VERD_02;2932
VERD_03;3109
YANA_01;3507
